Item_ID,Item_Name,Item_Image,Item_Category,Item_Description
1001,목재,Wood,재료,아이템 또는 건축물의 재료로 쓰인다. 나무를 벌목하여 얻을 수 있다.
1002,돌,Stone,재료,아이템 또는 건축물의 재료로 쓰인다. 돌을 채굴하여 얻을 수 있다.
1003,양털,Wool,재료,천을 제작할 때 쓰인다. 양에게서 얻을 수 있다.
1004,천,Cloth,재료,방어구 또는 건축물의 재료로 쓰인다. 양털로 만들 수 있다.
1005,뼈,Bone,재료,인디언 또는 동물에서 얻을 수 있다. 무기와 장식용으로 쓰인다.
1006,빨간 튤립,RedTulip,재료,쉽게 찾을 수 있는 빨간색 튤립이다. 장식 및 일부분의 염색재료로  쓰인다.
1007,청록색 꽃,CyanFlower,재료,섬 일부 지역에서만 볼 수 있는 청록색 꽃이다. 장식 및 일부분의 염색 재료로 쓰인다.
1008,,,재료,
1009,,,재료,
1010,,,재료,
1101,돼지고기,Pork,음식,"돼지한테 얻을 수 있다. 그냥 먹어도 되지만, 모닥불을 이용해 구워 먹으면 더 맛있을 것 같다."
1102,구운 돼지고기,CookedPork,음식,구워서 더 맛있어진 돼지고기. 포만감이 더 많이 차오른다. 
1103,양고기,Lamb,음식,"양한테 얻을 수 있다. 그냥 먹어도 되지만, 모닥불을 이용해 구워 먹으면 더 맛있을 것 같다."
1104,구운 양고기,CookedLamb,음식,구워서 더 맛있어진 양고기. 포만감이 더 많이 차오른다. 
1105,달콤한 열매,SweetBerries,음식,섬 어디에서나 보이는 달콤한 열매다.
1106,버섯,Mushroom,음식,섬 어디에서나 보이는 버섯이다. 모닥불을 이용해 구워 먹으면 더 맛있을 것 같다.
1107,구운 버섯,CookedMushroom,음식,구워서 더 맛있어진 버섯. 포만감이 더 많이 차오른다.
1108,,,음식,
1109,,,음식,
1110,,,음식,
1201,나무 방망이,WoodenClub,무기,나무로 만들어진 방망이다. 나무로 만들어졌기 때문에 내구도가 낮다.
1202,횃불,Torch,무기,들고있으면 주변을 밝게 해준다. 휘둘러 공격을할 수 있지만 크게 기대는 하지 않는게 좋다.
1203,돌 곡괭이,StonePickaxe,무기,돌을 효율적으로 채굴할 수 있다.
1204,돌 도끼,StoneAxe,무기,나무를 효율적으로 벌목할 수 있다.
1205,뼈칼,BoneKnife,무기,뼈를 갈아 날카롭게 만들어낸 칼이다. 적에게 피해를 주기가 용이하다.
1206,나무 방패,WoodenShield,무기,나무로 만들어진 방패다. 내구도는 약할 수 있으나 적의 공격을 막아낼 수 있다.
1207,,,무기,
1208,,,무기,
1209,,,무기,
1210,,,무기,
1251,천 두건,ClothHood,방어구,천을 여러개 겹쳐서 만든 두건이다. 어느 정도 보호가 가능해 보인다.
1252,천 옷,ClothRobe,방어구,천을 여러 개 겹쳐서 만든 옷이다. 어느 정도 보호가 가능해 보인다.
1253,천 하의,ClothPants,방어구,천을 여러 개 겹쳐서 만든 하의다. 어느 정도 보호가 가능해 보인다.
1254,천 신발,ClothShoes,방어구,천을 여러 개 겹쳐서 만든 신발이다. 맨발보다 나아보인다.
1255,나무 투구,WoodenHelmet,방어구,나무로 만들어진 투구이다. 공격에 피해를 덜 받는다.
1256,나무 갑옷,WoodenArmor,방어구,나무로 만들어진 갑옷이다. 공격에 피해를 덜 받는다.
1257,나무 하의,WoodenPants,방어구,나무로 만들어진 하의다. 공격에 피해를 덜 받는다.
1258,나무 신발,WoodenShoes,방어구,나무로 만들어진 신발이다. 공격에 피해를 덜 받는다.
1259,,,방어구,
1260,,,방어구,
1301,호피,LeopardPrint,장식,호랑이한테 얻을 수 있는 가죽이다. 바닥에 설치할 수 있다.
1302,빨간색 천 해골 깃발,RedClothSkullFlag,장식,"깃대에 빨간색 천이 달려있으며, 해골이 깃대에 꽂혀있다."
1303,청록색 천 해골 깃발,CyanClothSkullFlag,장식,"깃대에 청록색 천이 달려있으며, 3개의 해골이 깃대에 꽂혀있다."
1304,,,장식,
1305,,,장식,
1306,,,장식,
1307,,,장식,
1308,,,장식,
1309,,,장식,
1310,,,장식,
